Bull Reina Isabel & Spa	Gran Canaria	g187472-d231610
Booking Jardin Tecina	La Gomera	g1187912-d324473
Hotel Rural Triana	La Gomera	g1024999-d15811971
Parador de La Palma	La Palma	g642213-d482745
Parador de El Hierro	El Hierro	g187474-d277394
